,day_of_year,number_of_trips
0,1,22385
1,2,34491
2,3,21121
3,4,29734
4,5,35237
5,6,42818
6,7,43686
7,8,46734
8,9,42130
9,10,30231
10,11,38099
11,12,46371
12,13,54563
13,14,46865
14,15,64140
15,16,52974
16,17,39816
17,18,23951
18,19,37019
19,20,52956
20,21,42710
21,22,39265
22,23,20808
23,24,10990
24,25,13717
25,26,9121
26,27,21094
27,28,27380
28,29,34919
29,30,34146
30,31,35959
31,32,43546
32,33,43803
33,34,23557
34,35,45448
35,36,25624
36,37,32704
37,38,32890
38,39,31674
39,40,32897
40,41,39594
41,42,38530
42,43,36298
43,44,15143
44,45,12876
45,46,10726
46,47,21543
47,48,33210
48,49,36571
49,50,38264
50,51,42435
51,52,31889
52,53,45551
53,54,36915
54,55,30085
55,56,48683
56,57,43662
57,58,39126
58,59,41342
59,60,40035
60,61,45987
61,62,40436
62,63,41973
63,64,32807
64,65,35958
65,66,37726
66,67,55740
67,68,63661
68,69,70502
69,70,86169
70,71,70826
71,72,59895
72,73,47755
73,74,37821
74,75,58234
75,76,63427
76,77,65911
77,78,63434
78,79,51795
79,80,46734
80,81,55970
81,82,58775
82,83,70747
83,84,67202
84,85,63551
85,86,58251
86,87,42015
87,88,34651
88,89,57463
89,90,65019
90,91,82402
91,92,81191
92,93,62934
93,94,42243
94,95,44756
95,96,70379
96,97,60304
97,98,70158
98,99,74294
99,100,56482
100,101,68670
101,102,79110
102,103,75561
103,104,89074
104,105,76622
105,106,86938
106,107,82605
107,108,87787
108,109,89838
109,110,75741
110,111,96539
111,112,94826
112,113,97838
113,114,82735
114,115,86867
115,116,83801
116,117,82070
117,118,100283
118,119,87364
119,120,66997
120,121,92944
121,122,68817
122,123,91732
123,124,76201
124,125,94919
125,126,102449
126,127,86613
127,128,83001
128,129,78167
129,130,94129
130,131,105557
131,132,118050
132,133,118522
133,134,103261
134,135,103065
135,136,70327
136,137,103668
137,138,102391
138,139,110390
139,140,118572
140,141,118177
141,142,86945
142,143,86196
143,144,90527
144,145,88597
145,146,116155
146,147,118779
147,148,112561
148,149,105867
149,150,102367
150,151,79939
151,152,96372
152,153,101168
153,154,118492
154,155,107815
155,156,96890
156,157,86450
157,158,114126
158,159,115559
159,160,96273
160,161,125690
161,162,121247
162,163,105250
163,164,88925
164,165,105670
165,166,108282
166,167,122128
167,168,119325
168,169,125231
169,170,118005
170,171,103255
171,172,108461
172,173,120658
173,174,120623
174,175,130173
175,176,128199
176,177,116460
177,178,94300
178,179,96121
179,180,115616
180,181,126566
181,182,143886
182,183,124555
183,184,112216
184,185,92992
185,186,105535
186,187,123284
187,188,140530
188,189,138117
189,190,137464
190,191,138721
191,192,133127
192,193,131631
193,194,146010
194,195,146400
195,196,136361
196,197,156161
197,198,147170
198,199,135191
199,200,128100
200,201,145056
201,202,161691
202,203,160264
203,204,157915
204,205,149817
205,206,138744
206,207,127635
207,208,151133
208,209,151294
209,210,161586
210,211,143580
211,212,139070
212,213,115622
213,214,143599
214,215,150468
215,216,166861
216,217,168847
217,218,169618
218,219,155970
219,220,144793
220,221,145631
221,222,159932
222,223,141904
223,224,148142
224,225,137334
225,226,152199
226,227,140648
227,228,147415
228,229,152577
229,230,155856
230,231,162438
231,232,162324
232,233,153974
233,234,126363
234,235,147407
235,236,158051
236,237,164456
237,238,160817
238,239,163139
239,240,149541
240,241,144499
241,242,141208
242,243,140958
243,244,149315
244,245,133335
245,246,163832
246,247,154880
247,248,150684
248,249,140336
249,250,150269
250,251,170797
251,252,175513
252,253,153673
253,254,168961
254,255,154362
255,256,149691
256,257,169802
257,258,174891
258,259,175430
259,260,191716
260,261,184823
261,262,168610
262,263,144072
263,264,169977
264,265,177145
265,266,187675
266,267,192121
267,268,159500
268,269,169433
269,270,167276
270,271,173309
271,272,173942
272,273,167264
273,274,124617
274,275,125130
275,276,132987
276,277,140147
277,278,162597
278,279,173088
279,280,175634
280,281,188047
281,282,141080
282,283,123092
283,284,137544
284,285,160203
285,286,158321
286,287,176847
287,288,175626
288,289,162141
289,290,151699
290,291,149735
291,292,153198
292,293,172318
293,294,179137
294,295,135984
295,296,115718
296,297,135264
297,298,140481
298,299,140183
299,300,149808
300,301,106248
301,302,155013
302,303,153234
303,304,128750
304,305,117090
305,306,145614
306,307,159025
307,308,167444
308,309,162915
309,310,142960
310,311,126073
311,312,128336
312,313,138806
313,314,107012
314,315,145229
315,316,130883
316,317,117922
317,318,110231
318,319,117932
319,320,102278
320,321,118392
321,322,142686
322,323,119391
323,324,126258
324,325,95213
325,326,94445
326,327,101550
327,328,99107
328,329,87113
329,330,52945
330,331,58556
331,332,53489
332,333,78853
333,334,67048
334,335,74679
335,336,106967
336,337,117191
337,338,114125
338,339,96619
339,340,75658
340,341,93526
341,342,99282
342,343,96469
343,344,95895
344,345,98346
345,346,84862
346,347,91475
347,348,87185
348,349,103313
349,350,93036
350,351,74660
351,352,71672
352,353,70039
353,354,74327
354,355,84172
355,356,82189
356,357,62084
357,358,60101
358,359,28497
359,360,43496
360,361,45919
361,362,64768
362,363,54272
363,364,61121
364,365,61914
365,366,15928
