day_of_yr,PRCP,SNWD,AWND,AVG_T,snowed,num_trips
182,0.84,0,3.1,74.5,0,16650
183,0.08,0,2.7,77,0,22745
184,0.53,0,4.3,78,0,21864
185,0,0,4.3,81,0,22326
186,0,0,4.9,83,0,21842
187,0,0,4.5,85,0,20467
188,0,0,4.3,85,0,20477
189,0.22,0,4.7,81,0,21615
190,0.23,0,3.1,81,0,26641
191,0,0,4.3,80,0,25732
192,0,0,3.8,80,0,24417
193,0.25,0,9.6,72.5,0,19006
194,0.06,0,5.4,74,0,26119
195,0,0,4,82,0,29287
196,0,0,3.6,86,0,28069
197,0,0,4.7,85.5,0,29842
198,0,0,3.4,88,0,30550
199,0,0,3.8,89.5,0,28869
200,0,0,5.1,89.5,0,26591
201,0,0,5.8,87,0,25278
202,0,0,4.7,82.5,0,30297
203,0.06,0,4.9,80.5,0,25979
204,0.31,0,4.3,80,0,32376
205,0,0,4.5,75.5,0,35271
206,0.01,0,8.9,66,0,31084
207,0,0,5.1,74,0,34534
208,0,0,3.4,76,0,32470
209,0.24,0,2,74,0,23508
210,0.01,0,3.8,77,0,34915
211,0,0,4,75,0,37334
212,0,0,2.9,75,0,37261
213,0.65,0,2.9,71,0,20138
214,0,0,4.5,75,0,35792
215,0.06,0,3.4,73,0,29540
216,0,0,5.1,73,0,35253
217,0,0,3.4,70,0,36776
218,0,0,2.7,73,0,37702
219,0,0,5.1,75,0,34396
220,0.46,0,4.5,75.5,0,28366
221,0.05,0,4.3,79.5,0,29017
222,0,0,4.9,76.5,0,37201
223,0,0,2.5,73,0,33060
224,0.05,0,2,76,0,31457
225,0.85,0,2.7,72.5,0,22437
226,0,0,6.5,67.5,0,38150
227,0,0,3.6,68.5,0,37386
228,0,0,2,73,0,35991
229,0,0,2,74,0,37285
230,0,0,2.9,72,0,27612
231,0,0,3.4,72.5,0,33127
232,0,0,2.9,78,0,35843
233,0,0,2.5,81,0,36315
234,0.25,0,3.8,74.5,0,26629
235,0,0,5.6,76.5,0,33503
236,0,0,4.9,72.5,0,32941
237,0,0,4,73.5,0,31755
238,0.04,0,5.8,76,0,29979
239,0.01,0,4.7,79,0,34208
240,0.43,0,2.7,78.5,0,28185
241,0,0,4.9,75.5,0,34215
242,0,0,4.3,77.5,0,32318
243,0,0,4.9,79.5,0,25381
244,0,0,2.5,79.5,0,25235
245,0.05,0,0.9,78,0,21416
246,0.03,0,2.9,75,0,32411
247,0,0,5.4,73.5,0,36798
248,0,0,5.6,72,0,35825
249,0,0,3.6,64.5,0,35868
250,0,0,3.4,69.5,0,34419
251,0,0,6.5,73.5,0,33196
252,0,0,4.3,65,0,35394
253,0.01,0,5.8,77.5,0,36954
254,0,0,4.5,86.5,0,35812
255,1.6,0,4,78.5,0,31252
256,0.06,0,5.1,68,0,36501
257,0,0,4.7,60.5,0,31607
258,0,0,3.8,62,0,31914
259,0.03,0,4.7,64.5,0,31287
260,0,0,4.7,57.5,0,38283
261,0,0,2.7,61.5,0,37957
262,0,0,2.5,66.5,0,39200
263,0,0,3.1,69.5,0,39382
264,0.72,0,4.5,69,0,31826
265,0.45,0,5.8,61.5,0,29758
266,0,0,4,58,0,35152
267,0,0,4,60,0,38417
268,0,0,1.8,62.5,0,38223
269,0,0,3.6,64.5,0,38189
270,0,0,4.7,63,0,37412
271,0,0,4.5,64.5,0,34931
272,0,0,3.1,64.5,0,32592
273,0,0,3.4,65.5,0,37148
274,0,0,2,70.5,0,40575
275,0,0,4,73.5,0,41383
276,0,0,1.6,70.5,0,40456
277,0,0,2.9,76,0,40195
278,0,0,3.6,70,0,34181
279,0,0,5.8,67.5,0,26574
280,0.25,0,5.8,68,0,25016
281,0,0,6,60.5,0,38365
282,0,0,8.5,57.5,0,36969
283,0,0,8.9,59.5,0,31171
284,0.02,0,9.4,64,0,33357
285,0,0,11.2,66,0,32457
286,0,0,8.5,60.5,0,28832
287,0,0,2.5,59,0,33018
288,0,0,2.9,62.5,0,37534
289,0,0,3.1,61.5,0,36911
290,0.02,0,2.7,67,0,36888
291,0,0,6.7,61.5,0,38122
292,0.01,0,3.4,58,0,29548
293,0,0,5.6,56.5,0,29256
294,0,0,3.8,58,0,35012
295,0,0,4.5,59,0,36338
296,0,0,4.5,50,0,32365
297,0,0,6.7,47.5,0,32251
298,0,0,5.1,46.5,0,30979
299,0,0,6.3,48,0,24569
300,0,0,5.1,52,0,23965
301,0,0,4.5,52,0,31498
302,0,0,4.9,50,0,33414
303,0,0,2,53.5,0,35069
304,0.06,0,3.6,59.5,0,31444
305,0.13,0,4.9,64.5,0,30384
306,0,0,3.8,61.5,0,31013
307,0,0,6.3,46,0,20798
308,0,0,6.5,40.5,0,27142
309,0,0,4,48,0,31493
310,0,0,3.6,55,0,34826
311,0.13,0,6.7,54,0,25719
312,0,0,8.7,45,0,28686
313,0,0,4.9,44,0,21734
314,0,0,7.6,52.5,0,19712
315,0,0,6.5,48,0,27295
316,0.03,0,6.3,41.5,0,19925
317,0,0,6,34,0,23633
318,0,0,8.1,42.5,0,27040
319,0,0,4.7,50.5,0,29051
320,0.05,0,2.7,52.5,0,25194
321,0.03,0,3.6,55.5,0,17995
322,0.22,0,7.4,58,0,30615
323,0,0,9.2,43.5,0,27417
324,0,0,6.9,38,0,26229
325,0,0,4.9,43.5,0,28752
326,0.07,0,6.3,54,0,25448
327,0,0,9.6,42.5,0,18996
328,0,0,12.1,26.5,0,9392
329,0,0,5.8,29,0,19116
330,0.51,0,4.3,40,0,14999
331,1.98,0,9.6,48.5,0,7976
332,0,0,7.2,32.5,0,5204
333,0,0,3.8,34,0,10127
334,0,0,5.1,32,0,9863
335,0,0,1.8,42.5,0,13326
336,0,0,3.1,45,0,24576
337,0,0,3.1,45.5,0,27431
338,0,0,2.9,46.5,0,28199
339,0.01,0,2.5,54,0,26988
340,0.73,0,5.8,49.5,0,10736
341,0.14,0,6,36.5,0,15545
342,0.08,0,6.3,31,1,10090
343,0.3,0,6.7,35,0,14824
344,0.23,0,6.5,33.5,1,12850
345,0,0,7.6,30,0,18766
346,0,0,7.4,26.5,0,17214
347,0,0,5.6,29,0,17888
348,0.73,0,10.1,28,1,3701
349,0.72,3.1,8.7,35,0,7462
350,0,3.1,7.8,29,0,15562
351,0.19,3.1,6,28,1,7863
352,0,3.9,6.7,30,0,14924
353,0,3.1,4.9,38.5,0,18766
354,0,3.1,5.1,47,0,22066
355,0.01,1.2,7.8,58,0,17940
356,0,0,5.6,66,0,15063
357,0.51,0,4.7,53,0,6956
358,0,0,8.3,34,0,11025
359,0,0,4.7,25,0,3260
360,0,0,5.4,33,0,9763
361,0,0,5.8,35.5,0,11720
362,0,0,7.2,45.5,0,12022
363,1.2,0,6,44.5,0,3775
364,0,0,6.3,34,0,13241
365,0,0,5.8,26.5,0,10424
