,day_of_yr,PRCP,SNWD,AWND,AVG_T,snowed,num_trips
0,1,0.0,0.0,7.2,33.0,0,5317
1,2,0.0,0.0,7.2,38.5,0,11304
2,3,0.71,0.0,6.5,37.5,0,4478
3,4,0.3,0.0,6.5,48.5,0,7849
4,5,0.0,0.0,10.5,35.0,0,14506
5,6,0.05,0.0,4.0,20.5,1,8739
6,7,0.0,1.2,12.8,16.0,0,9646
7,8,0.0,0.0,8.7,14.5,0,8779
8,9,0.07,0.0,8.7,26.0,1,7930
9,10,0.0,1.2,8.1,19.5,0,6109
10,11,0.0,1.2,6.0,27.5,0,7467
11,12,0.36,0.0,3.8,37.0,0,8645
12,13,0.0,0.0,8.5,26.5,0,12797
13,14,0.0,0.0,6.3,24.0,0,13086
14,15,0.0,0.0,4.7,30.0,0,14075
15,16,0.0,0.0,9.8,31.5,0,13843
16,17,0.0,0.0,6.0,24.5,0,7491
17,18,2.1,0.0,3.8,36.5,0,1795
18,19,0.0,0.0,7.6,39.0,0,10710
19,20,0.0,0.0,5.8,36.0,0,16129
20,21,0.0,0.0,4.3,30.5,0,15234
21,22,0.0,0.0,5.6,35.5,0,15864
22,23,0.0,0.0,5.6,33.5,0,15737
23,24,0.72,3.1,6.0,36.0,1,4814
24,25,0.0,2.0,6.3,36.5,0,9379
25,26,0.48,2.0,12.8,26.5,1,4141
26,27,0.36,7.9,8.3,25.0,1,1214
27,28,0.0,7.9,7.6,25.0,0,5401
28,29,0.02,5.9,3.8,27.5,0,8870
29,30,0.06,7.1,10.5,28.5,1,9015
30,31,0.0,7.1,12.3,19.5,0,5188
31,32,0.03,5.9,3.8,28.0,1,6441
32,33,1.02,7.1,9.8,24.0,1,1459
33,34,0.0,7.9,7.2,19.5,0,4754
34,35,0.0,7.9,4.3,33.5,0,8973
35,36,0.0,7.9,8.5,28.0,0,9208
36,37,0.0,7.9,7.2,19.5,0,8575
37,38,0.02,7.9,3.8,32.5,0,6790
38,39,0.0,7.9,8.5,33.0,0,6662
39,40,0.09,7.9,11.0,27.0,0,5160
40,41,0.01,7.9,10.5,33.0,1,10328
41,42,0.0,7.9,6.5,28.0,0,11439
42,43,0.0,7.9,7.4,28.0,0,11269
43,44,0.0,7.9,9.2,14.5,0,7642
44,45,0.02,7.9,5.4,24.0,1,4614
45,46,0.0,9.1,14.5,14.5,0,2581
46,47,0.0,9.1,6.9,12.0,0,3998
47,48,0.14,11.8,4.7,20.5,1,4784
48,49,0.0,9.1,4.3,26.0,0,9170
49,50,0.0,9.1,11.4,17.5,0,7799
50,51,0.0,9.1,10.3,10.5,0,6159
51,52,0.61,9.1,4.5,22.5,1,3157
52,53,0.1,13.0,2.9,37.5,1,4274
53,54,0.0,11.8,11.2,23.0,0,7458
54,55,0.0,11.8,5.8,14.0,0,7402
55,56,0.0,11.8,6.5,28.5,0,10751
56,57,0.0,11.0,7.2,26.5,0,9901
57,58,0.0,11.0,6.0,24.0,0,9864
58,59,0.0,11.0,3.6,21.0,0,6318
59,60,0.52,9.8,2.2,27.5,1,2879
60,61,0.0,15.0,8.1,33.0,0,7283
61,62,0.67,14.2,4.9,29.5,1,6533
62,63,0.25,13.0,6.0,40.0,0,7514
63,64,0.76,13.0,5.8,29.5,1,1637
64,65,0.0,18.9,6.3,19.5,0,5162
65,66,0.0,18.1,5.1,28.0,0,5590
66,67,0.0,16.1,5.1,43.0,0,7898
67,68,0.01,13.0,4.7,47.0,0,14878
68,69,0.46,11.0,3.6,46.0,0,11781
69,70,0.01,5.9,6.9,51.5,0,19561
70,71,0.0,3.9,8.3,41.5,0,17530
71,72,0.0,2.0,6.5,37.0,0,16145
72,73,0.81,1.2,5.6,45.5,0,3906
73,74,0.0,0.0,11.4,40.0,0,8838
74,75,0.0,0.0,3.8,43.5,0,16787
75,76,0.02,0.0,9.6,45.5,0,14857
76,77,0.0,0.0,9.6,34.0,0,13842
77,78,0.0,0.0,5.8,36.0,0,15446
78,79,0.4,0.0,7.8,33.5,1,8052
79,80,0.0,5.1,5.4,38.0,0,9338
80,81,0.0,0.0,7.6,35.5,0,9676
81,82,0.0,0.0,6.7,30.5,0,13538
82,83,0.0,0.0,4.0,35.5,0,16166
83,84,0.05,0.0,4.5,41.5,0,14670
84,85,0.32,0.0,2.9,52.0,0,14954
85,86,0.27,0.0,4.3,42.5,0,14107
86,87,0.0,0.0,7.6,33.0,0,1107
87,88,0.0,0.0,6.3,35.5,0,9826
88,89,0.0,0.0,7.8,45.0,0,18075
89,90,0.17,0.0,5.4,41.0,0,14250
90,91,0.0,0.0,5.1,41.5,0,20146
91,92,0.0,0.0,6.3,54.0,0,24227
92,93,0.04,0.0,6.7,61.5,0,14774
93,94,0.01,0.0,10.1,51.0,0,14355
94,95,0.0,0.0,4.9,51.5,0,13799
95,96,0.0,0.0,4.3,52.5,0,23391
96,97,0.15,0.0,6.9,52.0,0,16262
97,98,0.0,0.0,11.4,41.0,0,17872
98,99,0.0,0.0,8.9,40.0,0,16546
99,100,0.17,0.0,4.7,47.5,0,16317
100,101,0.0,0.0,8.7,50.5,0,18643
101,102,0.0,0.0,3.4,54.5,0,19954
102,103,0.0,0.0,4.7,59.0,0,24925
103,104,0.01,0.0,3.8,60.0,0,22703
104,105,0.0,0.0,6.3,61.5,0,27594
105,106,0.0,0.0,6.5,58.0,0,27180
106,107,0.08,0.0,5.1,63.0,0,24175
107,108,0.0,0.0,4.3,69.5,0,28174
108,109,0.0,0.0,8.5,56.0,0,21475
109,110,1.37,0.0,7.4,51.5,0,11202
110,111,0.2,0.0,6.0,58.5,0,24868
111,112,0.05,0.0,6.5,58.5,0,21997
112,113,0.0,0.0,9.2,46.5,0,22074
113,114,0.0,0.0,8.5,45.5,0,20981
114,115,0.0,0.0,5.6,50.0,0,21082
115,116,0.0,0.0,5.1,55.0,0,21594
116,117,0.0,0.0,5.8,55.5,0,25501
117,118,0.0,0.0,7.8,60.5,0,29795
118,119,0.0,0.0,5.6,64.0,0,31532
119,120,0.0,0.0,8.1,57.5,0,29252
120,121,0.0,0.0,5.1,56.0,0,27924
121,122,0.0,0.0,2.9,61.0,0,25743
122,123,0.0,0.0,2.5,65.5,0,27694
123,124,0.0,0.0,5.4,71.0,0,32066
124,125,0.0,0.0,4.0,75.5,0,33012
125,126,0.0,0.0,4.9,66.0,0,30313
126,127,0.0,0.0,2.2,68.0,0,34871
127,128,0.0,0.0,2.9,69.0,0,34304
128,129,0.0,0.0,4.3,63.5,0,24329
129,130,0.0,0.0,3.6,72.0,0,26573
130,131,0.0,0.0,3.8,77.0,0,32382
131,132,0.0,0.0,5.4,75.0,0,35225
132,133,0.0,0.0,7.4,61.5,0,33402
133,134,0.0,0.0,3.8,61.5,0,40826
134,135,0.0,0.0,3.4,65.0,0,34945
135,136,0.3,0.0,2.0,66.0,0,23882
136,137,0.02,0.0,2.0,73.5,0,30969
137,138,0.0,0.0,4.7,67.5,0,31559
138,139,0.0,0.0,2.5,69.5,0,33895
139,140,0.0,0.0,6.9,60.5,0,33823
140,141,0.0,0.0,2.7,57.0,0,31214
141,142,0.0,0.0,6.0,64.5,0,31891
142,143,0.0,0.0,4.5,59.5,0,23910
143,144,0.0,0.0,3.8,68.5,0,25151
144,145,0.0,0.0,4.9,74.5,0,28164
145,146,0.0,0.0,5.1,77.5,0,35786
146,147,0.08,0.0,5.1,77.5,0,33710
147,148,0.0,0.0,4.0,77.5,0,35934
148,149,0.0,0.0,4.0,75.0,0,37756
149,150,0.0,0.0,5.6,76.0,0,31147
150,151,1.46,0.0,5.6,72.0,0,19586
151,152,0.72,0.0,10.3,54.5,0,15283
152,153,0.37,0.0,6.3,52.5,0,11984
153,154,0.0,0.0,4.7,61.0,0,34590
154,155,0.0,0.0,5.1,59.5,0,32772
155,156,0.13,0.0,2.9,62.5,0,31294
156,157,0.19,0.0,4.7,68.0,0,26334
157,158,0.0,0.0,3.8,64.5,0,30773
158,159,0.06,0.0,6.0,71.0,0,33585
159,160,0.01,0.0,4.9,75.5,0,35412
160,161,0.0,0.0,3.1,73.5,0,39350
161,162,0.0,0.0,4.5,80.5,0,37400
162,163,0.0,0.0,4.5,80.5,0,35136
163,164,0.0,0.0,5.4,79.0,0,29980
164,165,0.36,0.0,2.7,77.0,0,28184
165,166,0.57,0.0,4.7,73.5,0,25087
166,167,0.27,0.0,2.2,72.0,0,32147
167,168,0.0,0.0,3.8,74.0,0,38030
168,169,0.0,0.0,3.6,67.5,0,35464
169,170,0.0,0.0,3.8,77.5,0,37380
170,171,0.0,0.0,5.4,69.5,0,23580
171,172,0.64,0.0,4.5,79.5,0,25926
172,173,0.0,0.0,4.9,78.5,0,37677
173,174,0.02,0.0,5.8,82.5,0,32294
174,175,0.0,0.0,4.7,76.0,0,41070
175,176,0.0,0.0,3.1,74.0,0,39673
176,177,0.0,0.0,4.5,75.0,0,38614
177,178,1.12,0.0,7.4,64.5,0,15485
178,179,0.29,0.0,5.4,67.5,0,20591
179,180,0.0,0.0,4.9,69.5,0,38037
180,181,0.04,0.0,4.9,75.0,0,38087
181,182,0.39,0.0,4.3,75.5,0,37539
182,183,0.0,0.0,1.1,74.5,0,35559
183,184,0.0,0.0,2.9,74.0,0,26928
184,185,0.0,0.0,3.4,72.0,0,21706
185,186,0.0,0.0,1.6,75.5,0,25920
186,187,0.0,0.0,2.9,77.5,0,35251
187,188,0.12,0.0,4.9,81.5,0,36837
188,189,0.0,0.0,3.1,82.5,0,35047
189,190,0.3,0.0,4.7,73.5,0,31978
190,191,0.0,0.0,4.7,78.0,0,38559
191,192,0.0,0.0,2.5,78.5,0,31719
192,193,0.0,0.0,2.0,80.5,0,31037
193,194,0.0,0.0,2.7,80.5,0,38485
194,195,0.42,0.0,2.7,77.5,0,35802
195,196,0.12,0.0,4.5,76.5,0,34979
196,197,0.0,0.0,5.6,72.0,0,42356
197,198,0.0,0.0,3.8,74.0,0,39595
